지역,총학급수,총학생수,총특수학급수,총특수학생수,특수학생비율
서초구,528,12500,25,122,0.976
종로구,222,3935,13,54,1.372
강남구,815,18416,43,176,0.956
송파구,1066,22951,50,249,1.085
강동구,925,20349,37,160,0.786
강서구,1003,20824,51,253,1.215
양천구,734,15663,37,189,1.207
구로구,667,13429,42,186,1.385
금천구,357,6608,31,122,1.846
영등포구,512,10367,31,123,1.186
동대문구,494,10143,31,146,1.439
중랑구,631,12712,41,186,1.463
동작구,598,12372,30,140,1.132
관악구,587,11369,41,203,1.786
노원구,680,12978,44,194,1.495
도봉구,425,8150,27,129,1.583
은평구,774,15756,51,241,1.53
서대문구,499,10605,26,126,1.188
마포구,560,11515,32,119,1.033
성동구,473,8752,32,146,1.668
광진구,346,6616,22,118,1.784
성북구,773,16131,41,174,1.079
강북구,344,6816,22,108,1.585
용산구,320,5787,21,82,1.417
중구,160,2909,12,42,1.444
