교육지원청,"정보공시 학교코드",학교명,설립구분,지역,도로명주소,학급수(계),학생수(계),"특수학급 학급수","특수학급 학생수",학교급코드,학교구분,공시연도
교육부,S000003545,서울농학교,국립,종로구,"서울특별시 종로구 필운대로 103",25,96,25,96,5,특수,2023
교육부,S000003553,한국우진학교,국립,마포구,"서울특별시 마포구 월드컵북로38길 21",39,184,39,184,5,특수,2023
교육부,S000003610,서울맹학교,국립,종로구,"서울특별시 종로구 필운대로 97",39,177,39,177,5,특수,2023
서울특별시교육청,S010000663,광성하늘빛학교,사립,송파구,"서울특별시 송파구 올림픽로 625",7,24,7,24,5,특수,2023
서울특별시교육청,S010000664,누리학교,사립,동작구,"서울특별시 동작구 상도로 53",7,29,7,29,5,특수,2023
서울특별시교육청,S010000665,교남학교,사립,강서구,"서울특별시 강서구 까치산로22길 38",15,87,15,87,5,특수,2023
서울특별시교육청,S010000667,다니엘학교,사립,서초구,"서울특별시 서초구 헌릉로468길 21-16",30,194,30,194,5,특수,2023
서울특별시교육청,S010000669,밀알학교,사립,강남구,"서울특별시 강남구 일원로 90",31,193,31,193,5,특수,2023
서울특별시교육청,S010000670,서울새롬학교,사립,관악구,"서울특별시 관악구 보라매로 44",16,62,16,62,5,특수,2023
서울특별시교육청,S010000671,서울광진학교,공립,광진구,"서울특별시 광진구 강변역로 18",25,136,25,136,5,특수,2023
서울특별시교육청,S010000673,서울동천학교,사립,노원구,"서울특별시 노원구 노원로18길 41",34,196,34,196,5,특수,2023
서울특별시교육청,S010000676,서울삼성학교,사립,동작구,"서울특별시 동작구 양녕로30길 19-4",21,99,21,99,5,특수,2023
서울특별시교육청,S010000677,서울애화학교,사립,강북구,"서울특별시 강북구 솔매로52길 31",24,114,24,114,5,특수,2023
서울특별시교육청,S010000679,서울정문학교,공립,관악구,"서울특별시 관악구 난향3길 31",35,202,35,202,5,특수,2023
서울특별시교육청,S010000680,서울정민학교,공립,노원구,"서울특별시 노원구 공릉로58길 24",53,221,53,221,5,특수,2023
서울특별시교육청,S010000681,서울정인학교,공립,강북구,"서울특별시 강북구 인수봉로 119-20",31,165,31,165,5,특수,2023
서울특별시교육청,S010000682,서울정진학교,공립,구로구,"서울특별시 구로구 부일로9길 158",54,268,54,268,5,특수,2023
서울특별시교육청,S010000683,성베드로학교,사립,구로구,"서울특별시 구로구 연동로 320",28,174,28,174,5,특수,2023
서울특별시교육청,S010000684,수도사랑의학교,사립,종로구,"서울특별시 종로구 사직로7길 17",7,24,7,24,5,특수,2023
서울특별시교육청,S010000686,연세대학교재활학교,사립,서대문구,"서울특별시 서대문구 연세로 50",19,102,19,102,5,특수,2023
서울특별시교육청,S010000688,서울정애학교,공립,강남구,"서울특별시 강남구 봉은사로81길 16",26,151,26,151,5,특수,2023
서울특별시교육청,S010000691,주몽학교,사립,강동구,"서울특별시 강동구 상암로 369",30,191,30,191,5,특수,2023
서울특별시교육청,S010000694,한국구화학교,사립,강동구,"서울특별시 강동구 고덕로 295-59",29,166,29,166,5,특수,2023
서울특별시교육청,S010000696,한국육영학교,사립,송파구,"서울특별시 송파구 충민로6길 15",29,198,29,198,5,특수,2023
서울특별시교육청,S010000697,한빛맹학교,사립,강북구,"서울특별시 강북구 삼양로73가길 47",23,101,23,101,5,특수,2023
서울특별시교육청,S010002477,은평대영학교,사립,은평구,"서울특별시 은평구 갈현로11길 30",37,228,37,228,5,특수,2023
서울특별시교육청,S010002520,서울경운학교,공립,종로구,"서울특별시 종로구 삼일대로 454",25,137,25,137,5,특수,2023
서울특별시교육청,S010006331,서울다원학교,공립,성북구,"서울특별시 성북구 성북로31길 5-15",17,92,17,92,5,특수,2023
서울특별시교육청,S010006400,서울효정학교,사립,강북구,"서울특별시 강북구 삼양로63길 33",7,21,7,21,5,특수,2023
서울특별시교육청,S010006411,서울나래학교,공립,서초구,"서울특별시 서초구 염곡안1길 25",34,119,34,119,5,특수,2023
서울특별시교육청,S010006412,서울서진학교,공립,강서구,"서울특별시 강서구 양천로55길 22",34,194,34,194,5,특수,2023
서울특별시교육청,S010006471,서울도솔학교,공립,도봉구,"서울특별시 도봉구 평화로15번길 9-26",25,115,25,115,5,특수,2023
